,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesCAD_scaffold_042879_01G000200,-0.31325483,-0.6954683,-0.6954683,-1.1670272,-2.2110121,-0.5492785
TraesCAD_scaffold_018230_01G000100,-0.67535913,-1.1259921,-1.1259921,-2.7911196,-2.439425,-4.250549
TraesCAD_scaffold_000804_01G000100,-0.13418841,-0.5553057,-0.5553057,-0.06251001,-0.22790873,-0.0011502504
TraesCAD_scaffold_082443_01G000300,-0.0009200573,0.025702655,0.025702655,0.17127001,0.03708452,-0.0036462545
TraesCAD_scaffold_323992_01G000100,-0.00061130524,-0.21497989,-0.21497989,-1.0583565,-0.37725818,-0.19993007
TraesCAD_scaffold_110979_01G000100,-1.0,-1.4147105,0.7127489,0.9370886,0.7187147,-1.0862696
TraesCAD_scaffold_035989_01G000800,-0.8702657,-0.94980574,-0.94980574,0.65494114,0.8124671,-1.0940747
TraesCAD_scaffold_034865_01G000200,-0.8236097,-0.8793365,-0.8793365,0.7178668,0.29214627,-1.1487811
TraesCAD_scaffold_054661_01G000400,-1.0000002,-1.1826129,-0.051992774,0.18469077,0.57163954,-1.1717904
TraesCAD_scaffold_107860_01G000100,-0.49490905,-0.4681065,-0.46810663,0.067350626,0.4126554,0.06790948
TraesCAD_scaffold_018210_01G000300,-0.0008684397,-0.24505806,-0.26571178,-1.0226831,-1.8178465,0.12812829
TraesCAD_scaffold_029972_01G000100,-0.012574911,0.16624516,0.16624516,0.55193764,0.6865531,0.0769425
TraesCAD_scaffold_089544_01G000100,-0.013611317,0.001134932,0.0011351109,0.40589398,0.34033978,-0.22017336
TraesCAD_scaffold_631170_01G000100,-0.98671865,-1.2884164,0.6347404,0.39229882,0.9483238,-1.499939
TraesCAD_scaffold_001469_01G001200,-0.013769865,0.14111716,0.14111716,0.2974648,-0.27358854,-0.35152793
TraesCAD_scaffold_009023_01G000200,-0.76463366,-0.8080816,-0.80808175,-0.5120603,0.10452902,0.20412278
TraesCAD_scaffold_026490_01G000100,-0.045313597,-0.098000765,-0.098000765,-2.050804,-1.1540675,-0.033507466
TraesCAD_scaffold_023915_01G000200,-0.6323292,-0.57777536,-0.5777756,0.64371383,0.572484,-0.754277
TraesCAD_scaffold_031510_01G000200,-4.7683716e-07,-0.15682864,-0.15682864,-2.0820448,-0.68058646,-0.16260087
TraesCAD_scaffold_077847_01G000100,-0.3329053,-0.44103384,-0.44103372,-0.5397452,0.0951342,0.04354471
TraesCAD_scaffold_015599_01G000100,-0.0017979145,0.088196754,0.06273812,-1.1955152,-1.1358156,-0.2283622
